Location,Rainfall,WindSpeed
Albury,0.4,7
BadgerysCreek,0.6,7
Cobar,0,7
CoffsHarbour,0.1,7
Moree,0,6
Newcastle,0,19
NorahHead,0,7
NorfolkIsland,0,13
Penrith,0,0
Richmond,0,6
Sydney,0,17
SydneyAirport,0,17
WaggaWagga,0,9
Williamtown,0,19
Wollongong,12.9,20
Canberra,0,7
Tuggeranong,0,2
MountGinini,1.8,20
Ballarat,2.4,22
Bendigo,3.6,13
Sale,0,19
MelbourneAirport,0.4,17
Melbourne,2.2,11
Mildura,0.2,20
Nhil,1.4,17
Portland,5.8,17
Watsonia,1.8,9
Dartmoor,6.2,4
Brisbane,0,4
Cairns,0,24
GoldCoast,0,26
Townsville,0,11
Adelaide,16,7
MountGambier,10.8,15
Nuriootpa,2,9
Woomera,0,17
Albany,0,4
Witchcliffe,0.2,0
PearceRAAF,0,9
PerthAirport,0,17
Perth,0,13
SalmonGums,0,19
Walpole,0,0
Hobart,2.4,13
Launceston,12.2,9
AliceSprings,0,11
Darwin,0,20
Katherine,0,20
Uluru,0,13
